Racer #,Racer,Heat #1,Heat #2,Heat #3,
0,Alex,Kelly,Nick,Zach
1,Bruce,Francisco,Victor,Nick
2,Chris,Zach,Francisco,Rick
3,Dylan,Paul,Oliver,Mark
4,Esse,Walter,Paul,Yonder
5,Francisco,Bruce,Chris,Victor
6,George,Tony,Steve,Queen
7,Hank,Jack,Rick,Oliver
8,Inna,Mark,Xavier,Walter
9,Jack,Hank,Zach,Tony
10,Kelly,Alex,Luke,Xavier
11,Luke,Xavier,Kelly,Uriel
12,Mark,Inna,Walter,Dylan
13,Nick,Oliver,Alex,Bruce
14,Oliver,Nick,Dylan,Hank
15,Paul,Dylan,Esse,Steve
16,Queen,Uriel,Tony,George
17,Rick,Steve,Hank,Chris
18,Steve,Rick,George,Paul
19,Tony,George,Queen,Jack
20,Uriel,Queen,Yonder,Luke
21,Victor,Yonder,Bruce,Francisco
22,Walter,Esse,Mark,Inna
23,Xavier,Luke,Inna,Kelly
24,Yonder,Victor,Uriel,Esse
25,Zach,Chris,Jack,Alex
